year,location_abbr,location,obesity_rate,pct_change
2019,CT,Connecticut,29.1,0.06204379562043805
2019,DE,Delaware,34.4,0.02686567164179099
2019,DC,District of Columbia,23.8,-0.03643724696356265
2019,FL,Florida,27.0,-0.12052117263843642
2019,GA,Georgia,33.1,0.01846153846153853
2019,HI,Hawaii,25.0,0.004016064257028162
2019,ID,Idaho,29.5,0.03873239436619724
2019,IL,Illinois,31.6,-0.0062893081761006275
2019,IN,Indiana,35.3,0.035190615835777095
2019,IA,Iowa,33.9,-0.03966005665722372
2019,KS,Kansas,35.2,0.023255813953488413
2019,KY,Kentucky,36.5,-0.002732240437158473
2019,LA,Louisiana,35.9,-0.024456521739130377
2019,ME,Maine,31.7,0.04276315789473695
2019,MD,Maryland,32.3,0.0453074433656957
2019,MA,Massachusetts,25.2,-0.01945525291828798
2019,MI,Michigan,36.0,0.09090909090909083
2019,MN,Minnesota,30.1,0.0
2019,MS,Mississippi,40.8,0.032911392405063244
2019,MO,Missouri,34.8,-0.005714285714285783
2019,MT,Montana,28.3,0.05204460966542768
2019,NE,Nebraska,34.1,0.0
2019,NV,Nevada,30.6,0.03728813559322042
2019,NH,New Hampshire,31.8,0.07432432432432434
2019,NM,New Mexico,31.7,-0.018575851393188736
2019,NY,New York,27.1,-0.018115942028985477
2019,NC,North Carolina,34.0,0.030303030303030276
2019,ND,North Dakota,34.8,-0.008547008547008628
2019,OH,Ohio,34.8,0.0235294117647058
2019,OK,Oklahoma,36.8,0.05747126436781613
2019,OR,Oregon,29.0,-0.030100334448160515
2019,PA,Pennsylvania,33.2,0.07443365695792892
2019,RI,Rhode Island,30.0,0.08303249097472931
2019,SC,South Carolina,35.4,0.03206997084548102
2019,SD,South Dakota,33.0,0.09634551495016597
2019,TN,Tennessee,36.5,0.061046511627907085
2019,TX,Texas,34.0,-0.02298850574712641
2019,UT,Utah,29.2,0.050359712230215736
2019,VT,Vermont,26.6,-0.032727272727272716
2019,VA,Virginia,31.9,0.049342105263157965
2019,WA,Washington,28.3,-0.013937282229965153
2019,WV,West Virginia,39.7,0.005063291139240533
2019,WI,Wisconsin,34.2,0.06875000000000009
2019,WY,Wyoming,29.7,0.024137931034482696
2019,GU,Guam,33.6,0.12751677852348986
2019,PR,Puerto Rico,32.5,-0.012158054711246202
2020,US,National,31.9,0.015923566878981
2020,AL,Alabama,39.0,0.08033240997229907
2020,AK,Alaska,31.9,0.04590163934426217
2020,AZ,Arizona,30.9,-0.015923566878980888
2020,AR,Arkansas,36.4,-0.0267379679144385
2020,CA,California,30.3,0.1564885496183206
2020,CO,Colorado,24.2,0.01680672268907557
2020,CT,Connecticut,29.2,0.0034364261168384758
2020,DE,Delaware,36.5,0.061046511627907085
2020,DC,District of Columbia,24.3,0.021008403361344463
2020,FL,Florida,28.4,0.051851851851851816
2020,GA,Georgia,34.3,0.03625377643504524
2020,HI,Hawaii,24.5,-0.020000000000000018
2020,ID,Idaho,31.1,0.05423728813559325
2020,IL,Illinois,32.4,0.025316455696202445
2020,IN,Indiana,36.8,0.04249291784702547
2020,IA,Iowa,36.5,0.07669616519174038
2020,KS,Kansas,35.3,0.0028409090909089496
2020,KY,Kentucky,36.6,0.00273972602739736
